Year,Month,Prefecture,Tourist (Japan)
2015,Jan,Osaka,978476
2015,Feb,Osaka,1207242
2015,Mar,Osaka,1236489
2015,Apr,Osaka,1528848
2015,May,Osaka,1411626
2015,Jun,Osaka,1398845
2015,Jul,Osaka,1712803
2015,Aug,Osaka,1584484
2015,Sep,Osaka,1346488
2015,Oct,Osaka,1564772
2015,Nov,Osaka,1399516
2015,Dec,Osaka,1599537
2016,Jan,Osaka,1579364
2016,Feb,Osaka,1670948
2016,Mar,Osaka,1726361
2016,Apr,Osaka,1825694
2016,May,Osaka,1640187
2016,Jun,Osaka,1773111
2016,Jul,Osaka,2069994
2016,Aug,Osaka,1802381
2016,Sep,Osaka,1631531
2016,Oct,Osaka,1848153
2016,Nov,Osaka,1617057
2016,Dec,Osaka,1864895
2017,Jan,Osaka,2006775
2017,Feb,Osaka,1791122
2017,Mar,Osaka,1898944
2017,Apr,Osaka,2300476
2017,May,Osaka,2020226
2017,Jun,Osaka,2117253
2017,Jul,Osaka,2426074
2017,Aug,Osaka,2208644
2017,Sep,Osaka,1965310
2017,Oct,Osaka,2289918
2017,Nov,Osaka,2100951
2017,Dec,Osaka,2315900
2018,Jan,Osaka,2171045
2018,Feb,Osaka,2280872
2018,Mar,Osaka,2283596
2018,Apr,Osaka,2603797
2018,May,Osaka,2391395
2018,Jun,Osaka,2454154
2018,Jul,Osaka,2564205
2018,Aug,Osaka,2295775
2018,Sep,Osaka,1836045
2018,Oct,Osaka,2310354
2018,Nov,Osaka,2162583
2018,Dec,Osaka,2412291
2019,Jan,Osaka,2345029
2019,Feb,Osaka,2341479
2019,Mar,Osaka,2411650
2019,Apr,Osaka,2640569
2019,May,Osaka,2455865
2019,Jun,Osaka,2614533
2019,Jul,Osaka,2713329
2019,Aug,Osaka,2206746
2019,Sep,Osaka,1913105
2019,Oct,Osaka,2177382
2019,Nov,Osaka,2145425
2019,Dec,Osaka,2292029
2020,Jan,Osaka,2287755
2020,Feb,Osaka,898976
2020,Mar,Osaka,119645
2020,Apr,Osaka,776
2020,May,Osaka,108
2020,Jun,Osaka,226
2020,Jul,Osaka,418
2020,Aug,Osaka,482
2020,Sep,Osaka,497
2020,Oct,Osaka,760
2020,Nov,Osaka,1030
2020,Dec,Osaka,1557
2021,Jan,Osaka,547
2021,Feb,Osaka,266
2021,Mar,Osaka,374
2021,Apr,Osaka,740
2021,May,Osaka,1057
2021,Jun,Osaka,1657
2021,Jul,Osaka,42621
2021,Aug,Osaka,13304
2021,Sep,Osaka,1124
2021,Oct,Osaka,2287
2021,Nov,Osaka,1709
2021,Dec,Osaka,701
2022,Jan,Osaka,649
2022,Feb,Osaka,999
2022,Mar,Osaka,3371
2022,Apr,Osaka,6166
2022,May,Osaka,7308
2022,Jun,Osaka,12405
2022,Jul,Osaka,30315
2022,Aug,Osaka,31441
2022,Sep,Osaka,42108
2022,Oct,Osaka,326699
2022,Nov,Osaka,773983
2022,Dec,Osaka,1252391
2023,Jan,Osaka,1308606
2023,Feb,Osaka,1297458
2023,Mar,Osaka,1582518
2023,Apr,Osaka,1738172
2023,May,Osaka,1656118
2023,Jun,Osaka,1882296
2023,Jul,Osaka,2108438
2023,Aug,Osaka,1897129
2023,Sep,Osaka,1905162
2023,Oct,Osaka,2245892
2023,Nov,Osaka,2206883
2023,Dec,Osaka,2551290
2024,Jan,Osaka,2386640
2024,Feb,Osaka,2548085
2024,Mar,Osaka,2771105
2024,Apr,Osaka,2763384
2024,May,Osaka,2758219
2024,Jun,Osaka,2913631
2024,Jul,Osaka,3055187
2024,Aug,Osaka,2646445
2024,Sep,Osaka,2544751
2024,Oct,Osaka,3021710
2024,Nov,Osaka,2922383
2024,Dec,Osaka,3280013
2002,Jan,Chiba,193396
2002,Feb,Chiba,246832
2002,Mar,Chiba,241138
2002,Apr,Chiba,266858
2002,May,Chiba,257757
2002,Jun,Chiba,290136
2002,Jul,Chiba,338632
2002,Aug,Chiba,305793
2002,Sep,Chiba,206064
2002,Oct,Chiba,271771
2002,Nov,Chiba,227666
2002,Dec,Chiba,249283
2003,Jan,Chiba,256609
2003,Feb,Chiba,228905
2003,Mar,Chiba,241866
2003,Apr,Chiba,194739
2003,May,Chiba,151597
2003,Jun,Chiba,206149
2003,Jul,Chiba,340213
2003,Aug,Chiba,358013
2003,Sep,Chiba,253197
2003,Oct,Chiba,310992
2003,Nov,Chiba,247764
2003,Dec,Chiba,265296
2004,Jan,Chiba,343533
2004,Feb,Chiba,242463
2004,Mar,Chiba,281643
2004,Apr,Chiba,359573
2004,May,Chiba,310428
2004,Jun,Chiba,327006
2004,Jul,Chiba,427874
2004,Aug,Chiba,367292
2004,Sep,Chiba,277151
2004,Oct,Chiba,322783
2004,Nov,Chiba,280670
2004,Dec,Chiba,299245
2005,Jan,Chiba,292004
2005,Feb,Chiba,343172
2005,Mar,Chiba,339690
2005,Apr,Chiba,378597
2005,May,Chiba,331430
2005,Jun,Chiba,374180
2005,Jul,Chiba,484817
2005,Aug,Chiba,426917
2005,Sep,Chiba,326321
2005,Oct,Chiba,379015
2005,Nov,Chiba,326877
2005,Dec,Chiba,365553
2006,Jan,Chiba,413532
2006,Feb,Chiba,339445
2006,Mar,Chiba,363923
2006,Apr,Chiba,474844
2006,May,Chiba,391485
2006,Jun,Chiba,393762
2006,Jul,Chiba,524366
2006,Aug,Chiba,467016
2006,Sep,Chiba,358422
2006,Oct,Chiba,475608
2006,Nov,Chiba,388497
2006,Dec,Chiba,438422
2007,Jan,Chiba,401624
2007,Feb,Chiba,468163
2007,Mar,Chiba,452074
2007,Apr,Chiba,517652
2007,May,Chiba,462407
2007,Jun,Chiba,456056
2007,Jul,Chiba,621877
2007,Aug,Chiba,566071
2007,Sep,Chiba,459813
2007,Oct,Chiba,550587
2007,Nov,Chiba,476640
2007,Dec,Chiba,521216
2008,Jan,Chiba,491401
2008,Feb,Chiba,519469
2008,Mar,Chiba,503308
2008,Apr,Chiba,576014
2008,May,Chiba,541672
2008,Jun,Chiba,502577
2008,Jul,Chiba,649234
2008,Aug,Chiba,559421
2008,Sep,Chiba,427406
2008,Oct,Chiba,526631
2008,Nov,Chiba,367572
2008,Dec,Chiba,383976
2009,Jan,Chiba,399352
2009,Feb,Chiba,256117
2009,Mar,Chiba,371017
2009,Apr,Chiba,458192
2009,May,Chiba,334957
2009,Jun,Chiba,286981
2009,Jul,Chiba,483541
2009,Aug,Chiba,504395
2009,Sep,Chiba,335416
